iter	RMSE
0	2596.837439
1	2339.03443
2	2195.377114
3	2097.308938
4	2020.471971
5	1983.661216
6	1943.473945
7	1925.78156
8	1898.307478
9	1873.729969
10	1860.16684
11	1849.939537
12	1840.12187
13	1825.172648
14	1810.253352
15	1801.357572
16	1793.144749
17	1780.132535
18	1771.224073
19	1760.579705
20	1752.424275
21	1745.583065
22	1741.459626
23	1735.826734
24	1731.497803
25	1724.79837
26	1720.542087
27	1714.683214
28	1709.416169
29	1704.27553
30	1698.365676
31	1692.999189
32	1687.937605
33	1685.397498
34	1678.966781
35	1675.666459
36	1672.818158
37	1669.455095
38	1665.814395
39	1661.409983
40	1656.819906
41	1653.967981
42	1652.332564
43	1651.179902
44	1646.728588
45	1642.287708
46	1639.353127
47	1637.238439
48	1633.759859
49	1630.32588
50	1626.786495
51	1625.12707
52	1621.058373
53	1617.373123
54	1614.498682
55	1611.718737
56	1609.696821
57	1608.03631
58	1606.240417
59	1604.552734
60	1603.257343
61	1600.977255
62	1598.829986
63	1598.060347
64	1595.403665
65	1592.893123
66	1590.741253
67	1589.115047
68	1588.072031
69	1585.107019
70	1583.135164
71	1581.313679
72	1579.886583
73	1578.644462
74	1576.414621
75	1574.909725
76	1572.575916
77	1571.426449
78	1570.015906
79	1568.356696
80	1567.735198
81	1567.603653
82	1566.502709
83	1565.831968
84	1564.253858
85	1562.378506
86	1561.285295
87	1560.353954
88	1558.603217
89	1557.828023
90	1556.231546
91	1554.701932
92	1553.106187
93	1551.764496
94	1549.948447
95	1549.279612
96	1547.743453
97	1545.987724
98	1545.219696
99	1543.384308
100	1541.435987
101	1540.243677
102	1538.850906
103	1537.462138
104	1536.423307
105	1535.491456
106	1534.723197
107	1532.658306
108	1531.208515
109	1529.877922
110	1528.613458
111	1527.517491
112	1526.749282
113	1525.918494
114	1524.489483
115	1523.356937
116	1522.183657
117	1520.925436
118	1520.289872
119	1519.138162
120	1517.807331
121	1517.204255
122	1516.038162
123	1515.389825
124	1514.22804
125	1513.841142
126	1512.764969
127	1511.390087
128	1510.297983
129	1509.265109
130	1508.239957
131	1506.781781
132	1506.160306
133	1505.336166
134	1504.553269
135	1503.354106
136	1501.797741
137	1500.531635
138	1499.905901
139	1499.111173
140	1497.006773
141	1495.982807
142	1494.470575
143	1493.45494
144	1492.587238
145	1491.127631
146	1490.482631
147	1489.406462
148	1487.411037
149	1486.610672
150	1485.61223
151	1484.30027
152	1483.270316
153	1481.897153
154	1480.664557
155	1479.737716
156	1479.187154
157	1478.513196
158	1477.772584
159	1477.055794
160	1476.324323
161	1475.690145
162	1475.026833
163	1473.604711
164	1472.860934
165	1471.817409
166	1471.042213
167	1470.339548
168	1470.289978
169	1469.380385
170	1468.798216
171	1467.599411
172	1466.938234
173	1466.089484
174	1465.694049
175	1464.971416
176	1464.261741
177	1463.516842
178	1462.95721
179	1462.298975
180	1461.836872
181	1461.204495
182	1460.563393
183	1459.991635
184	1459.269781
185	1458.612785
186	1458.176084
187	1457.773578
188	1457.23741
189	1456.78656
190	1456.20071
191	1455.930762
192	1455.371666
193	1454.896274
194	1453.856968
195	1453.391262
196	1453.212338
197	1452.559355
198	1451.849483
199	1450.980511
200	1450.13848
201	1448.969779
202	1448.565105
203	1447.66885
204	1447.651713
205	1446.652659
206	1445.607194
207	1445.156887
208	1444.246532
209	1443.642778
210	1442.961509
211	1442.103884
212	1441.313181
213	1440.551846
214	1440.21066
215	1439.285734
216	1438.626321
