iter	Passed	Remaining
0	19	6718
1	38	6615
2	56	6567
3	75	6536
4	92	6404
5	110	6322
6	128	6283
7	143	6135
8	160	6097
9	179	6101
10	195	6032
11	212	5998
12	230	5979
13	248	5962
14	266	5942
15	282	5890
16	298	5846
17	315	5818
18	334	5832
19	352	5815
20	371	5814
21	388	5787
22	405	5766
23	422	5738
24	439	5716
25	457	5705
26	475	5686
27	492	5662
28	511	5660
29	528	5636
30	550	5660
31	568	5648
32	585	5626
33	602	5602
34	620	5583
35	637	5563
36	654	5540
37	673	5528
38	689	5500
39	707	5484
40	725	5467
41	743	5448
42	759	5423
43	777	5409
44	796	5400
45	815	5389
46	833	5375
47	853	5372
48	869	5341
49	887	5325
50	905	5307
51	921	5281
52	938	5259
53	956	5245
54	977	5241
55	994	5219
56	1015	5222
57	1034	5206
58	1053	5193
59	1069	5170
60	1086	5145
61	1103	5124
62	1122	5115
63	1139	5092
64	1162	5098
65	1180	5078
66	1196	5053
67	1213	5031
68	1230	5012
69	1248	4995
70	1265	4973
71	1282	4950
72	1301	4936
73	1318	4916
74	1336	4901
75	1355	4886
76	1371	4864
77	1388	4842
78	1406	4823
79	1424	4808
80	1442	4789
81	1459	4770
82	1480	4761
83	1500	4752
84	1523	4749
85	1543	4737
86	1566	4734
87	1585	4720
88	1609	4719
89	1631	4712
90	1650	4698
91	1670	4685
92	1691	4674
93	1715	4670
94	1737	4663
95	1761	4660
96	1786	4658
97	1805	4643
98	1827	4632
99	1847	4618
100	1867	4603
101	1886	4587
102	1908	4575
103	1930	4566
104	1949	4548
105	1969	4533
106	1989	4518
107	2008	4499
108	2028	4485
109	2046	4465
110	2069	4455
111	2090	4441
112	2111	4428
113	2133	4417
114	2153	4401
115	2174	4386
116	2194	4370
117	2219	4363
118	2238	4345
119	2262	4335
120	2282	4319
121	2304	4306
122	2324	4289
123	2350	4284
124	2371	4269
125	2392	4253
126	2419	4248
127	2441	4235
128	2466	4225
129	2486	4207
130	2508	4194
131	2532	4182
132	2552	4163
133	2579	4158
134	2598	4139
135	2626	4132
136	2647	4115
137	2668	4099
138	2691	4086
139	2713	4070
140	2741	4063
141	2761	4044
142	2787	4035
143	2810	4020
144	2829	4000
145	2854	3988
146	2875	3971
147	2902	3961
148	2921	3941
149	2946	3928
150	2965	3908
151	2992	3897
152	3013	3880
153	3037	3865
154	3062	3853
155	3083	3835
156	3107	3820
157	3129	3803
158	3150	3784
159	3175	3771
160	3195	3751
161	3219	3735
162	3241	3718
163	3265	3703
164	3289	3688
165	3310	3669
166	3333	3652
167	3353	3633
168	3372	3611
169	3390	3589
170	3408	3567
171	3425	3544
172	3443	3522
173	3460	3500
174	3485	3485
175	3502	3462
176	3519	3440
177	3537	3417
178	3554	3395
179	3572	3374
180	3593	3355
181	3614	3336
182	3637	3319
183	3659	3301
184	3679	3281
185	3700	3263
186	3720	3242
187	3743	3225
188	3765	3207
189	3789	3191
190	3808	3170
191	3827	3149
192	3850	3131
193	3869	3111
194	3896	3097
195	3916	3077
196	3940	3060
197	3959	3039
198	3984	3023
199	4002	3002
200	4025	2984
201	4046	2964
202	4070	2947
203	4090	2927
204	4112	2908
205	4132	2888
206	4157	2872
207	4178	2852
208	4201	2834
209	4221	2814
210	4244	2796
211	4266	2777
212	4287	2757
213	4311	2739
214	4330	2719
215	4353	2700
216	4372	2679
217	4394	2660
218	4412	2639
219	4434	2620
220	4454	2599
221	4477	2581
222	4497	2561
223	4519	2542
224	4536	2520
225	4555	2499
226	4572	2477
227	4589	2455
228	4607	2434
229	4623	2412
230	4640	2390
231	4657	2368
232	4675	2347
233	4696	2328
234	4715	2307
235	4731	2285
236	4750	2265
237	4769	2244
238	4786	2223
239	4805	2202
240	4824	2181
241	4840	2160
242	4857	2138
243	4874	2117
244	4891	2096
245	4909	2075
246	4928	2055
247	4948	2035
248	4966	2014
249	4983	1993
250	4999	1971
251	5015	1950
252	5032	1929
253	5049	1908
254	5067	1887
255	5086	1867
256	5103	1846
257	5121	1826
258	5140	1806
259	5157	1785
260	5173	1764
261	5190	1743
262	5208	1723
263	5226	1702
264	5244	1682
265	5262	1661
266	5280	1641
267	5297	1620
268	5314	1600
269	5331	1579
270	5348	1559
271	5366	1538
272	5386	1519
273	5402	1498
274	5423	1479
275	5440	1458
276	5458	1438
277	5474	1417
278	5491	1397
279	5508	1377
280	5524	1356
281	5542	1336
282	5558	1316
283	5576	1295
284	5598	1276
285	5617	1256
286	5635	1237
287	5654	1217
288	5674	1197
289	5694	1178
290	5711	1157
291	5729	1138
292	5746	1117
293	5763	1097
294	5779	1077
295	5797	1057
296	5813	1037
297	5830	1017
298	5850	997
299	5867	977
300	5885	958
301	5902	938
302	5920	918
303	5937	898
304	5956	878
305	5972	858
306	5990	839
307	6009	819
308	6025	799
309	6046	780
310	6063	760
311	6080	740
312	6098	720
313	6115	701
314	6133	681
315	6150	661
316	6168	642
317	6187	622
318	6206	603
319	6225	583
320	6244	564
321	6261	544
322	6276	524
323	6293	505
324	6314	485
325	6330	466
326	6347	446
327	6367	427
328	6386	407
329	6403	388
330	6420	368
331	6438	349
332	6454	329
333	6473	310
334	6489	290
335	6507	271
336	6524	251
337	6541	232
338	6557	212
339	6575	193
340	6592	173
341	6609	154
342	6630	135
343	6649	115
344	6671	96
345	6688	77
346	6706	57
347	6724	38
348	6743	19
349	6760	0
