iter	Passed	Remaining
0	15	3108
1	30	3025
2	43	2863
3	58	2879
4	76	2966
5	93	3007
6	115	3192
7	127	3062
8	138	2929
9	147	2810
10	156	2687
11	167	2630
12	177	2560
13	188	2501
14	199	2455
15	207	2389
16	214	2311
17	219	2221
18	226	2161
19	234	2107
20	242	2065
21	248	2006
22	256	1974
23	266	1956
24	277	1945
25	285	1911
26	292	1876
27	299	1838
28	306	1804
29	313	1778
30	322	1758
31	329	1728
32	337	1707
33	344	1679
34	354	1670
35	362	1652
36	373	1644
37	381	1624
38	388	1602
39	394	1579
40	405	1570
41	413	1555
42	422	1542
43	429	1523
44	436	1504
45	445	1492
46	455	1481
47	466	1476
48	474	1462
49	483	1451
50	492	1437
51	501	1427
52	510	1415
53	519	1404
54	527	1390
55	535	1377
56	549	1377
57	558	1367
58	571	1364
59	581	1356
60	591	1347
61	605	1346
62	614	1336
63	624	1327
64	634	1317
65	643	1307
66	654	1299
67	665	1292
68	674	1281
69	684	1270
70	697	1267
71	710	1262
72	720	1253
73	736	1253
74	750	1250
75	761	1241
76	771	1232
77	781	1223
78	794	1216
79	802	1203
80	811	1191
81	820	1180
82	825	1163
83	834	1152
84	842	1139
85	851	1128
86	859	1115
87	866	1102
88	875	1092
89	884	1081
90	894	1071
91	902	1059
92	909	1045
93	917	1035
94	927	1024
95	936	1014
96	945	1003
97	953	992
98	959	978
99	973	973
100	990	970
101	996	957
102	1008	949
103	1022	943
104	1032	934
105	1038	921
106	1049	912
107	1060	903
108	1076	898
109	1088	890
110	1097	879
111	1105	868
112	1112	856
113	1120	845
114	1128	834
115	1137	823
116	1145	812
117	1153	801
118	1161	790
119	1170	780
120	1178	769
121	1186	758
122	1193	747
123	1196	733
124	1203	722
125	1211	711
126	1220	701
127	1228	691
128	1236	680
129	1245	670
130	1254	660
131	1263	650
132	1271	640
133	1282	631
134	1294	623
135	1305	614
136	1314	604
137	1321	593
138	1328	583
139	1337	573
140	1344	562
141	1350	551
142	1359	541
143	1367	531
144	1376	522
145	1387	513
146	1396	503
147	1403	493
148	1411	483
149	1420	473
150	1426	462
151	1431	452
152	1436	441
153	1442	430
154	1447	420
155	1454	410
156	1460	400
157	1467	390
158	1472	379
159	1479	369
160	1488	360
161	1496	350
162	1502	341
163	1509	331
164	1517	321
165	1521	311
166	1528	302
167	1534	292
168	1542	282
169	1554	274
170	1563	265
171	1570	255
172	1577	246
173	1586	236
174	1593	227
175	1603	218
176	1610	209
177	1620	200
178	1628	191
179	1635	181
180	1644	172
181	1655	163
182	1664	154
183	1672	145
184	1679	136
185	1689	127
186	1697	117
187	1705	108
188	1713	99
189	1724	90
190	1733	81
191	1744	72
192	1751	63
193	1761	54
194	1777	45
195	1789	36
196	1797	27
197	1802	18
198	1807	9
199	1813	0
